sigma,neither_unsafe,neither_integrity,neither_club,neither_falsebeard,screening_only_unsafe,screening_only_integrity,screening_only_club,screening_only_falsebeard,fines_only_unsafe,fines_only_integrity,fines_only_club,fines_only_falsebeard,both_unsafe,both_integrity,both_club,both_falsebeard
0.0,0.053399494726438824,1.0,0.015367656798777066,0.4664862421818395,0.06691969370832217,1.0,0.5470037250924449,0.21982296577965715,0.06746368291928587,1.0,0.475187033708664,0.0020658675884445564,0.06539277849683614,1.0,0.47306639704520137,0.0016609920417774828
0.05,0.053399494726438824,0.4892918140333996,0.015367656798777066,0.4664862421818395,0.06660422080368111,0.9927545513524751,0.49559408074406247,0.07403379582823312,0.06745580231812759,0.9997763017339723,0.47517252827004275,0.002196326108900524,0.06554355570171426,0.9998324887437228,0.47321242124758256,0.0016527250295904985
0.1,0.053399494726438824,0.32388241394239525,0.015367656798777066,0.4664862421818395,0.07246095931198883,0.9872831246157493,0.49331833372857825,0.06498399065260281,0.06744791010547986,0.9995221637756303,0.47505898096139176,0.002345209683312965,0.06568906050322662,0.9996657810403817,0.4733794763715202,0.0016494363074557698
0.15,0.053399494726438824,0.24205394832409546,0.015367656798777066,0.4664862421818395,0.07708798116048163,0.9807386781238493,0.4876926085209883,0.06527395673554909,0.06736802429772176,0.9991863089822413,0.4736896976927037,0.002653868908072403,0.06584253730292146,0.9994996645000898,0.473548537788946,0.0016468003803826307
0.2,0.053399494726438824,0.1932337066543159,0.015367656798777066,0.4664862421818395,0.08116216231387587,0.9730623949914528,0.47917250734541017,0.06777882092760776,0.06739616329581515,0.9988138329519893,0.47288587425849693,0.002896521980031449,0.06605643187757931,0.9993451096090812,0.47372865692626986,0.0016171842564568252
0.25,0.053399494726438824,0.16080141605538154,0.015367656798777066,0.4664862421818395,0.0847954262761812,0.9645997279166876,0.46980458675831727,0.0704723614383613,0.06748881763047065,0.9983834567558119,0.4719891475405842,0.0031522036469060115,0.06650792608055772,0.9992620711832524,0.47399093526759756,0.0014581987370744743
0.3,0.053399494726438824,0.13769134046709677,0.015367656798777066,0.4664862421818395,0.08773421533967948,0.9556160923774767,0.4591036984116856,0.07264672948999006,0.06753002145431825,0.9979132409838396,0.4715205029788174,0.003388267640644235,0.06671443824338584,0.999093526806347,0.47406407303408654,0.001492808944006513
0.35,0.053399494726438824,0.1203892281433482,0.015367656798777066,0.4664862421818395,0.08961855819496817,0.9464936573483693,0.44741421006663895,0.07389339417650348,0.06759642693613137,0.9973719092857956,0.4709104046315201,0.003653961192290661,0.06703170670342418,0.998827738634085,0.4734180952368695,0.0016521716650220145
0.4,0.053399494726438824,0.10695002854879194,0.015367656798777066,0.4664862421818395,0.09022619902537805,0.937593425250101,0.4354240968272144,0.07411512784975599,0.06765971432437923,0.9967578608034082,0.47030494934284883,0.003940766741100277,0.06732745004980543,0.9985269775149681,0.4728575464027899,0.0018143091322948824
0.45,0.053399494726438824,0.09620998770242091,0.015367656798777066,0.4664862421818395,0.09033301276674172,0.9286028458016236,0.42491802106228427,0.07425028932418545,0.06773396653196168,0.9960396127652605,0.46953140915452385,0.004274168258028636,0.0675961097505159,0.9980714444375806,0.47289148011080623,0.0021114776258319436
